Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Current_Age,Avg_Mileage_Per_Year,New_Column
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,First,19.67,1582.0,126.2,5.0,12.5,1,0,0,0,1,9,2.1855555555555557,20.34739454094293
2,Honda Jazz V,Chennai,2011,46000,First,18.15937885010267,1199.0,88.7,5.0,4.5,0,0,1,0,1,13,1.3968752961617439,22.874191944306315
3,Maruti Ertiga VDI,Chennai,2012,87000,First,20.77,1248.0,88.76,7.0,6.0,1,0,0,0,1,12,1.7308333333333332,43.240556660039765
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Second,15.2,1968.0,140.8,5.0,17.74,1,0,0,1,0,11,1.3818181818181818,20.20367610531545
6,Nissan Micra Diesel XV,Jaipur,2013,86999,First,23.08,1461.0,63.1,5.0,3.5,1,0,0,0,1,11,2.098181818181818,43.21857923497268
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,First,11.36,2755.0,171.5,8.0,17.5,1,0,0,1,0,8,1.42,17.857142857142858
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,First,20.54,1598.0,103.6,5.0,5.2,1,0,0,0,1,11,1.8672727272727272,32.00695479384004
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Second,22.3,1248.0,107.35215130674001,5.0,1.95,1,0,0,0,1,12,1.8583333333333334,32.76938369781312
10,Maruti Ciaz Zeta,Kochi,2018,25692,First,21.56,1462.0,103.25,5.0,9.95,0,0,1,0,1,6,3.5933333333333333,12.731417244796829
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,First,16.8,1497.0,116.3,5.0,4.49,0,0,1,1,0,12,1.4000000000000001,29.821073558648113
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,First,25.2,1248.0,107.35215130674001,5.0,5.6,1,0,0,0,1,9,2.8,31.972208436724564
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,First,12.7,2179.0,187.7,5.0,27.0,1,0,0,1,0,10,1.27,35.749751737835155
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,0.0,2179.0,107.35215130674001,5.0,17.5,1,0,0,1,0,12,0.0,42.24652087475149
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5,2477.0,175.56,7.0,15.0,1,0,0,0,1,10,1.35,54.61767626613704
16,Honda Amaze S i-Dtech,Kochi,2016,58950,First,25.8,1498.0,98.6,5.0,5.4,1,0,0,0,1,8,3.225,29.241071428571427
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,First,28.4,1248.0,107.35215130674001,5.0,5.99,1,0,0,0,1,7,4.057142857142857,12.394645513138324
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,20.45,1461.0,83.8,5.0,6.34,1,0,0,0,1,10,2.045,38.46524329692155
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,14.84,2143.0,167.62,5.0,28.0,1,0,0,1,0,10,1.484,38.97715988083416
20,BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995.0,107.35215130674001,5.0,18.55,1,0,0,1,0,10,2.269,16.376365441906653
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,23.65,1248.0,88.5,5.0,8.25,1,0,0,0,1,9,2.6277777777777778,27.48982630272953
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,13.53,1984.0,177.01,5.0,23.5,0,0,1,1,0,9,1.5033333333333332,27.78411910669975
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,18.5,1197.0,107.35215130674001,5.0,1.87,0,0,1,0,1,14,1.3214285714285714,22.78955223880597
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,14.4,1598.0,103.6,5.0,2.85,0,0,1,1,0,14,1.0285714285714287,16.417910447761194
25,Honda City Corporate Edition,Mumbai,2012,51920,First,16.8,1497.0,116.3,5.0,4.25,0,0,1,0,1,12,1.4000000000000001,25.805168986083498
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,First,16.48,1461.0,63.1,5.0,4.25,1,0,0,0,1,12,1.3733333333333333,26.8389662027833
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,20.92,998.0,67.1,5.0,2.75,0,0,1,0,1,11,1.901818181818182,26.825633383010434
28,Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199.0,88.7,5.0,9.9,0,0,1,0,1,6,2.9166666666666665,18.54806739345887
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,12.8,2494.0,107.35215130674001,7.0,4.0,1,0,0,0,1,17,0.7529411764705882,130.54309915296463
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,19.01,1461.0,108.45,5.0,7.75,1,0,0,0,1,11,1.7281818181818183,30.79980129160457
31,Toyota Corolla Altis G,Delhi,2012,87615,First,14.53,1798.0,138.1,5.0,6.75,0,0,1,0,1,12,1.2108333333333332,43.54622266401591
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,11.18,2696.0,107.35215130674001,7.0,12.5,1,0,0,1,0,11,1.0163636363636364,35.767511177347245
33,Audi A6 2.7 TDI,Kolkata,2010,35000,First,12.4,2698.0,179.5,5.0,11.5,1,0,0,1,0,14,0.8857142857142858,17.412935323383085
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09,1598.0,103.5,5.0,6.98,0,0,1,0,1,10,1.609,27.52284011916584
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,14.0,1061.0,107.35215130674001,5.0,1.85,0,0,1,0,1,15,0.9333333333333333,41.72025883524142
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248.0,88.5,5.0,8.63,1,0,0,0,1,6,4.05,24.814172447968286
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,18.15,1198.0,107.35215130674001,5.0,4.85,0,0,1,0,1,7,2.5928571428571425,25.780862667327714
